CONSUMO,RENDA,CONSUMO_codes
0.8095238095238095,0.0,0.8095238095238095
0.23809523809523808,0.3333333333333333,0.23809523809523808
0.8095238095238095,0.3333333333333333,0.8095238095238095
0.5238095238095237,0.6666666666666666,0.5238095238095237
0.5238095238095237,0.6666666666666666,0.5238095238095237
0.09523809523809523,0.6666666666666666,0.09523809523809523
0.8095238095238095,0.6666666666666666,0.8095238095238095
0.5238095238095237,0.0,0.5238095238095237
0.09523809523809523,0.6666666666666666,0.09523809523809523
0.09523809523809523,0.0,0.09523809523809523
0.09523809523809523,0.0,0.09523809523809523
0.5238095238095237,0.3333333333333333,0.5238095238095237
0.8095238095238095,0.6666666666666666,0.8095238095238095
0.09523809523809523,0.0,0.09523809523809523
0.9523809523809523,0.3333333333333333,0.9523809523809523
0.8095238095238095,0.0,0.8095238095238095
0.9523809523809523,0.3333333333333333,0.9523809523809523
0.5238095238095237,0.0,0.5238095238095237
0.8095238095238095,0.3333333333333333,0.8095238095238095
0.8095238095238095,0.0,0.8095238095238095
0.8095238095238095,0.6666666666666666,0.8095238095238095
0.8095238095238095,0.0,0.8095238095238095
0.5238095238095237,0.0,0.5238095238095237
0.47619047619047616,0.0,0.47619047619047616
1.0,0.3333333333333333,1.0
0.9523809523809523,0.3333333333333333,0.9523809523809523
0.5238095238095237,0.0,0.5238095238095237
0.09523809523809523,0.3333333333333333,0.09523809523809523
0.5238095238095237,0.3333333333333333,0.5238095238095237
0.9523809523809523,0.6666666666666666,0.9523809523809523
0.9523809523809523,0.6666666666666666,0.9523809523809523
0.09523809523809523,0.6666666666666666,0.09523809523809523
0.8095238095238095,0.0,0.8095238095238095
0.09523809523809523,0.3333333333333333,0.09523809523809523
0.09523809523809523,1.0,0.09523809523809523
0.8095238095238095,1.0,0.8095238095238095
0.8095238095238095,0.0,0.8095238095238095
0.8095238095238095,0.0,0.8095238095238095
0.9523809523809523,0.3333333333333333,0.9523809523809523
0.8095238095238095,0.6666666666666666,0.8095238095238095
0.8095238095238095,0.6666666666666666,0.8095238095238095
0.8095238095238095,0.3333333333333333,0.8095238095238095
0.8095238095238095,0.3333333333333333,0.8095238095238095
